BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
48:F8:DB:20:BA:C4, 2023-01-29 01:03:50, 2023-01-29 01:14:58,6,-1, WPA, ,   ,-1,0,1,   0.  0.  0.  0,0, , 
C0:C9:E3:D7:D6:6B, 2023-01-29 01:02:49, 2023-01-29 01:15:01,4,270, OPN, ,   ,-74,37,3,   0.  0.  0.  0,11, Maprang_FL4, 
92:C8:0A:92:3A:08, 2023-01-29 01:03:16, 2023-01-29 01:14:33,6,130, WPA3 WPA2, CCMP, SAE PSK,-68,35,0,   0.  0.  0.  0,23, , 
44:A1:91:55:5A:10, 2023-01-29 01:11:08, 2023-01-29 01:11:08,4,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , 
56:C1:A1:5C:DE:B9, 2023-01-29 01:03:25, 2023-01-29 01:09:08,10,180, WPA2, CCMP, PSK,-68,24,2,   0.  0.  0.  0,9, realme 5i, 
D8:38:0D:80:98:11, 2023-01-29 01:03:15, 2023-01-29 01:12:50,3,130, OPN, ,   ,-71,9,0,   0.  0.  0.  0,11, Maprang_FL2, 
7A:8B:2A:A9:A1:55, 2023-01-29 01:13:51, 2023-01-29 01:13:51,4,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , 
00:25:00:FF:94:73, 2023-01-29 01:03:02, 2023-01-29 01:15:02,-1,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , 
E8:65:D4:64:D1:15, 2023-01-29 01:02:51, 2023-01-29 01:15:34,40,780, WPA2, CCMP TKIP, PSK,-79,65,0,   0.  0.  0.  0,8, MHOME_5G, 
84:16:F9:7B:26:77, 2023-01-29 01:09:01, 2023-01-29 01:15:33,7,270, WPA2 WPA, CCMP TKIP, PSK,-78,11,0,   0.  0.  0.  0,9, KATEKAEW5, 
26:56:C8:D1:A0:75, 2023-01-29 01:04:42, 2023-01-29 01:15:17,6,65, WPA2, CCMP, PSK,-76,0,0,   0.  0.  0.  0,14, Galaxy A30DBE7, 
06:16:F9:7B:26:77, 2023-01-29 01:04:07, 2023-01-29 01:15:17,7,270, WPA2 WPA, CCMP TKIP, PSK,-73,6,0,   0.  0.  0.  0,9, KATEKAEW4, 
E0:CC:7A:99:FB:CC, 2023-01-29 01:02:51, 2023-01-29 01:15:25,5,130, WPA2 WPA, CCMP, PSK,-72,20,0,   0.  0.  0.  0,4, A400, 
4A:26:6F:E2:70:C6, 2023-01-29 01:03:16, 2023-01-29 01:15:33,6,130, WPA2, CCMP, PSK,-71,28,0,   0.  0.  0.  0,6, bbbern, 
7A:90:A2:5F:A5:CE, 2023-01-29 01:02:51, 2023-01-29 01:15:18,64,866, WPA2, CCMP TKIP, PSK,-71,71,2,   0.  0.  0.  0,8, sirin_5G, 
7A:90:A2:9F:A5:CE, 2023-01-29 01:02:51, 2023-01-29 01:15:18,64,866, WPA2, CCMP TKIP, PSK,-70,73,0,   0.  0.  0.  0,0, , 
14:91:82:A4:38:51, 2023-01-29 01:02:50, 2023-01-29 01:15:17,11,54, OPN, ,   ,-70,73,19,   0.  0.  0.  0,13, SrongklodWifi, 
16:11:5D:11:29:C9, 2023-01-29 01:03:24, 2023-01-29 01:15:33,3,130, WPA2, CCMP TKIP, PSK,-70,50,0,   0.  0.  0.  0,4, No.X, 
D8:38:0D:80:A0:C1, 2023-01-29 01:02:52, 2023-01-29 01:15:25,7,130, OPN, ,   ,-68,104,0,   0.  0.  0.  0,11, Maprang_FL5, 
C0:C9:E3:D7:DD:9D, 2023-01-29 01:02:53, 2023-01-29 01:15:34,2,270, OPN, ,   ,-70,124,19,  10.  2.121.233,11, Maprang_FL6, 
94:46:96:56:DC:64, 2023-01-29 01:02:52, 2023-01-29 01:15:33,1,130, WPA2, CCMP TKIP, PSK,-66,40,0,   0.  0.  0.  0,10, Moss2.4GHz, 
64:20:E0:6C:2F:1B, 2023-01-29 01:03:50, 2023-01-29 01:15:33,2,360, WPA2, CCMP, PSK,-65,35,0,   0.  0.  0.  0,0, , 
AC:85:3D:EF:52:D0, 2023-01-29 01:02:50, 2023-01-29 01:15:25,11,130, WPA2, CCMP, PSK,-65,23,21,   0.  0.  0.  0,9, Big Mouth, 
8C:FD:18:B0:9E:64, 2023-01-29 01:02:50, 2023-01-29 01:15:34,9,130, WPA2 WPA, CCMP, PSK,-64,101,65,   0.  0.  0.  0,4, Reef, 
7A:6C:51:1A:A2:48, 2023-01-29 01:02:49, 2023-01-29 01:15:33,6,130, WPA3 WPA2, CCMP, SAE PSK,-63,202,0,   0.  0.  0.  0,25, , 
F4:92:BF:CA:7C:AC, 2023-01-29 01:02:49, 2023-01-29 01:15:24,1,130, OPN, ,   ,-63,146,51,   0.  0.  0.  0,14, M-HOME_2.4 FL3, 
66:20:E0:1C:2F:1B, 2023-01-29 01:02:58, 2023-01-29 01:15:24,2,360, WPA2, CCMP, PSK,-63,35,0,   0.  0.  0.  0,12, Taewifi_2.4G, 
AC:9E:17:5C:AE:CC, 2023-01-29 01:02:49, 2023-01-29 01:15:34,6,130, WPA2, CCMP, PSK,-62,307,122,   0.  0.  0.  0,8, MHome2.4, 
78:90:A2:8F:A5:CE, 2023-01-29 01:02:50, 2023-01-29 01:15:33,8,360, WPA2, CCMP TKIP, PSK,-53,113,5,   0.  0.  0.  0,10, sirin_2.4G, 
FC:EC:DA:E6:51:D9, 2023-01-29 01:02:50, 2023-01-29 01:15:35,11,130, OPN, ,   ,-49,386,47,  10.  5. 50.236,10, M-HOME_FL4, 
E8:65:D4:64:D1:11, 2023-01-29 01:02:49, 2023-01-29 01:15:35,5,270, WPA2, CCMP TKIP, PSK,-45,282,50,   0.  0.  0.  0,5, MHOME, 
50:C7:BF:1A:87:93, 2023-01-29 01:02:50, 2023-01-29 01:15:34,10,130, WPA2, CCMP, PSK,-44,332,170,   0.  0.  0.  0,13, Mhome_Private, 
06:67:68:21:28:28, 2023-01-29 01:02:49, 2023-01-29 01:15:33,6,130, WPA3 WPA2, CCMP, SAE PSK,-44,489,8,   0.  0.  0.  0,3, , 
,,,,,,,,,,,,,,
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs,,,,,,,,
34:6F:24:0F:D0:FF, 2023-01-29 01:05:31, 2023-01-29 01:14:31,-67,14, (not associated) ,,,,,,,,,
4E:21:4F:5C:F4:25, 2023-01-29 01:14:21, 2023-01-29 01:14:21,-67,3, (not associated) ,M-HOME_2.4 FL3,,,,,,,,
06:B8:E0:22:04:38, 2023-01-29 01:14:06, 2023-01-29 01:14:06,-63,1, (not associated) ,,,,,,,,,
3A:B6:55:D9:13:75, 2023-01-29 01:14:05, 2023-01-29 01:14:05,-63,1, (not associated) ,,,,,,,,,
A6:C9:4B:2C:EB:56, 2023-01-29 01:14:07, 2023-01-29 01:14:07,-65,2, (not associated) ,,,,,,,,,
82:5A:46:ED:DA:78, 2023-01-29 01:14:05, 2023-01-29 01:14:05,-65,1, (not associated) ,,,,,,,,,
B6:2C:D6:46:D2:B4, 2023-01-29 01:14:05, 2023-01-29 01:14:05,-67,1, (not associated) ,,,,,,,,,
12:65:E4:72:CF:95, 2023-01-29 01:14:05, 2023-01-29 01:14:05,-69,1, (not associated) ,,,,,,,,,
CE:62:8B:95:B1:91, 2023-01-29 01:13:41, 2023-01-29 01:13:41,-63,1, (not associated) ,,,,,,,,,
EA:A4:EC:09:9F:FE, 2023-01-29 01:13:33, 2023-01-29 01:13:33,-61,1, (not associated) ,,,,,,,,,
06:24:EC:07:C2:CA, 2023-01-29 01:13:30, 2023-01-29 01:13:30,-63,1, (not associated) ,,,,,,,,,
D8:A3:15:B5:FC:D1, 2023-01-29 01:04:33, 2023-01-29 01:13:18,-69,14, E8:65:D4:64:D1:11,,,,,,,,,
FE:97:6C:82:F0:5B, 2023-01-29 01:12:44, 2023-01-29 01:13:07,-1,2, C0:C9:E3:D7:D6:6B,,,,,,,,,
3E:E3:AB:68:36:8C, 2023-01-29 01:02:50, 2023-01-29 01:13:04,-51,85, 06:67:68:21:28:28,,,,,,,,,
3A:3B:3D:D4:09:DD, 2023-01-29 01:13:07, 2023-01-29 01:13:07,-53,1, (not associated) ,,,,,,,,,
06:3E:72:3D:3E:0A, 2023-01-29 01:13:05, 2023-01-29 01:13:06,-59,10, (not associated) ,OSHINEI_CUSTOMER,,,,,,,,
3A:0C:92:97:1D:AE, 2023-01-29 01:04:01, 2023-01-29 01:13:07,-59,13, 50:C7:BF:1A:87:93,Mhome_Private,,,,,,,,
10:5A:17:36:11:F4, 2023-01-29 01:02:55, 2023-01-29 01:12:42,-73,10, (not associated) ,HOKAPOWER_2.4G,,,,,,,,
C2:5C:27:08:BF:ED, 2023-01-29 01:05:00, 2023-01-29 01:12:33,-75,13, 92:C8:0A:92:3A:08,,,,,,,,,
D8:4C:90:A9:C3:B0, 2023-01-29 01:06:41, 2023-01-29 01:12:21,-63,5, (not associated) ,,,,,,,,,
E2:0B:58:74:2C:16, 2023-01-29 01:10:30, 2023-01-29 01:10:30,-59,1, (not associated) ,,,,,,,,,
C6:D1:B0:E4:06:39, 2023-01-29 01:03:06, 2023-01-29 01:10:32,-63,62, (not associated) ,OSHINEI_CUSTOMER,,,,,,,,
FA:32:31:24:88:19, 2023-01-29 01:10:03, 2023-01-29 01:10:03,-63,8, (not associated) ,,,,,,,,,
9E:21:D0:A0:50:2D, 2023-01-29 01:10:05, 2023-01-29 01:10:05,-69,4, (not associated) ,,,,,,,,,
0E:76:EB:DF:A2:3B, 2023-01-29 01:09:31, 2023-01-29 01:09:31,-65,2, (not associated) ,,,,,,,,,
16:34:A2:0D:A0:D5, 2023-01-29 01:08:08, 2023-01-29 01:09:07,-76,6, E8:65:D4:64:D1:11,,,,,,,,,
4A:E4:62:EE:31:68, 2023-01-29 01:08:42, 2023-01-29 01:08:42,-65,1, (not associated) ,,,,,,,,,
BA:AF:F1:FF:A8:55, 2023-01-29 01:08:41, 2023-01-29 01:08:41,-67,1, (not associated) ,,,,,,,,,
BE:83:26:A9:B0:08, 2023-01-29 01:08:42, 2023-01-29 01:08:42,-69,1, (not associated) ,,,,,,,,,
22:FA:2B:F3:DE:6A, 2023-01-29 01:07:34, 2023-01-29 01:08:16,-1,2, 56:C1:A1:5C:DE:B9,,,,,,,,,
