BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key,Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C0:C9:E3:D7:D6:6B, 2023-01-30 20:30:21, 2023-01-30 20:36:51,-1,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , ,7E:36:CF:DC:64:CB, 2023-01-30 20:37:00, 2023-01-30 20:37:00,-69,2, (not associated) ,
00:25:00:FF:94:73, 2023-01-30 20:30:22, 2023-01-30 20:34:15,-1,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , ,34:C9:3D:D7:55:91, 2023-01-30 20:30:21, 2023-01-30 20:36:51,-71,3, C0:C9:E3:D7:D6:6B,
DE:02:44:0C:2D:23, 2023-01-30 20:30:51, 2023-01-30 20:32:51,6,130, WPA3 WPA2, CCMP, SAE PSK,-71,2,0,   0.  0.  0.  0,23, , ,D8:F2:CA:DC:96:EB, 2023-01-30 20:30:19, 2023-01-30 20:36:34,-1,60, AC:9E:17:5C:AE:CC,
B8:3A:08:C6:41:B1, 2023-01-30 20:30:52, 2023-01-30 20:30:52,1,130, WPA2, CCMP, PSK,-70,1,0,   0.  0.  0.  0,11, BANNAKARN_5, ,D2:62:8D:40:A0:57, 2023-01-30 20:36:13, 2023-01-30 20:36:13,-61,1, (not associated) ,
B8:3A:08:C5:82:01, 2023-01-30 20:31:01, 2023-01-30 20:31:01,2,130, WPA2, CCMP, PSK,-72,1,0,   0.  0.  0.  0,9, BANNAKAN4, ,64:90:C1:8A:52:9E, 2023-01-30 20:30:51, 2023-01-30 20:35:51,-73,13, 8C:FD:18:B0:9E:64,
AC:85:3D:EF:52:D0, 2023-01-30 20:30:18, 2023-01-30 20:37:08,11,130, WPA2, CCMP, PSK,-73,10,9,   0.  0.  0.  0,9, Big Mouth, ,82:55:6B:1D:5C:07, 2023-01-30 20:34:48, 2023-01-30 20:34:48,-55,1, (not associated) ,
AC:9E:17:5C:AE:CC, 2023-01-30 20:30:16, 2023-01-30 20:37:33,6,130, WPA2, CCMP, PSK,-71,38,109,   0.  0.  0.  0,8, MHome2.4, ,52:B5:E2:A5:CF:69, 2023-01-30 20:34:22, 2023-01-30 20:34:22,-63,1, (not associated) ,
E8:65:D4:64:D1:15, 2023-01-30 20:30:26, 2023-01-30 20:38:00,40,780, WPA2, CCMP TKIP, PSK,-83,18,0,   0.  0.  0.  0,8, MHOME_5G, ,66:36:D4:B4:3C:07, 2023-01-30 20:34:13, 2023-01-30 20:34:13,-61,1, (not associated) ,
14:91:82:A4:38:51, 2023-01-30 20:30:51, 2023-01-30 20:37:59,6,54, OPN, ,   ,-76,17,12, 192.168.  3.103,13, SrongklodWifi, ,22:D8:96:2B:FA:E4, 2023-01-30 20:34:13, 2023-01-30 20:34:13,-61,1, (not associated) ,
C0:C9:E3:D7:DD:9D, 2023-01-30 20:30:16, 2023-01-30 20:38:01,2,270, OPN, ,   ,-72,27,3,   0.  0.  0.  0,11, Maprang_FL6, ,BE:8E:FD:F2:53:92, 2023-01-30 20:34:13, 2023-01-30 20:34:13,-61,1, (not associated) ,
F4:92:BF:CA:7C:AC, 2023-01-30 20:30:16, 2023-01-30 20:38:02,1,130, OPN, ,   ,-71,40,177,  10.  5. 50. 79,14, M-HOME_2.4 FL3, ,62:67:4B:C8:FD:0F, 2023-01-30 20:34:13, 2023-01-30 20:34:13,-61,1, (not associated) ,
56:C1:A1:5C:DE:B9, 2023-01-30 20:31:00, 2023-01-30 20:38:00,11,180, WPA2, CCMP, PSK,-70,31,0,   0.  0.  0.  0,9, realme 5i, ,BA:FF:1F:49:09:5C, 2023-01-30 20:34:12, 2023-01-30 20:34:12,-63,1, (not associated) ,
78:90:A2:8F:A5:CE, 2023-01-30 20:30:17, 2023-01-30 20:38:00,11,360, WPA2, CCMP TKIP, PSK,-69,53,0,   0.  0.  0.  0,10, sirin_2.4G, ,26:84:1F:C6:5C:F3, 2023-01-30 20:34:15, 2023-01-30 20:34:15,-83,1, 00:25:00:FF:94:73,
10:27:F5:69:FB:1A, 2023-01-30 20:30:17, 2023-01-30 20:38:00,10,270, WPA2, CCMP, PSK,-69,78,0,   0.  0.  0.  0,12, BajangWIFI24, ,46:5A:F4:0C:9C:96, 2023-01-30 20:33:47, 2023-01-30 20:33:47,-61,1, (not associated) ,
8C:FD:18:B0:9E:64, 2023-01-30 20:30:16, 2023-01-30 20:38:00,9,130, WPA2 WPA, CCMP, PSK,-67,100,1,   0.  0.  0.  0,4, Reef, ,8A:DD:89:33:7C:5F, 2023-01-30 20:33:39, 2023-01-30 20:33:39,-63,1, (not associated) ,
